mood,title,artist,file
Sad,Daylight,David Kushner,local_songs/Daylight.mp3
Relaxed,Atlantis,Seafret,local_songs/Atlantis.mp3
Energetic,Starboy,The Weeknd,local_songs/Starboy.mp3
Happy,Counting Stars,OneRepublic,local_songs/Counting_stars.mp3
Happy,Song One,Artist A,local_songs/song1.mp3
Sad,Kese Bataye,Don't Know,local_songs/Kese Bataye.mp3
Energetic,On My Way,"Alan Walker, Farruko, and Sabrina Carpenter",local_songs/On My Way.mp3
Relaxed,See You Again,Wiz Khalifa,local_songs/See You Again.mp3
Romantic,Perfect,Ed Sheeran,local_songs/Perfect.mp3
Romantic,Can't Help Falling in Love,Elvis Presley,local_songs/Can't Help Falling In Love.mp3
Chill,Sunflower,Post Malone & Swae Lee,local_songs/Sunflower.mp3
Chill,Lovely,Billie Eilish & Khalid,local_songs/Lovely.mp3
Focused,Cornfield Chase,Hans Zimmer,local_songs/Cornfield Chase.mp3
Focused,Time,Hans Zimmer,local_songs/Time.mp3
Party,Levitating,Dua Lipa,local_songs/Levitating.mp3
Party,Wake Me Up,Avicii,local_songs/Wake Me Up.mp3
Uplifting,Blinding Lights,The Weeknd,local_songs/Blinding Lights.mp3
Rainy Day,Let Her Go,Passenger,local_songs/Let Her Go.mp3
Calm,Somewhere Only We Know,Keane,local_songs/Somewhere Only We Know.mp3
Calm,Someone Like You,Adele,local_songs/Someone Like You.mp3

